"file" "checksum" "filesize" "algorithm"
"bufferMap_v0.1.0_m_r500_t0_anthrDisturb.grd" "7eb0aa60cb3fee6f" "500" "xxhash64"
"bufferMap_v0.1.0_m_r500_t0_anthrDisturb.gri" "1cdf3624a044851f" "62292896" "xxhash64"
"bufferMap_v0.1.0_m_r500_t0_anthrDisturb.zip" "755878b6bb1b2f35" "399217" "xxhash64"
"roadDensity_BCR6_NWT_t0.tif" "bdbd5d6d6a523d0a" "13525472" "xxhash64"
"nadem100laz_BCR6_NWT.tif" "f23b90f560620112" "12174961" "xxhash64"
"vrug_bcr6.zip" "b564cfba473e27e9" "79412756" "xxhash64"
"vrug_bcr6.tif" "2e4995fffe4e68f2" "51822285" "xxhash64"
"Table41_ConvertLCC05.csv" "a6a0da2c85fd597a" "2307" "xxhash64"
